gx,gy,gz,timestamp
-179,-150,143,2025-09-03 23:26:44
-210,246,60,2025-09-03 23:26:44
111,205,-135,2025-09-03 23:26:44
-187,235,-212,2025-09-03 23:26:45
-247,-106,-85,2025-09-03 23:26:45
235,53,41,2025-09-03 23:26:46
246,176,-172,2025-09-03 23:26:46
-135,141,-34,2025-09-03 23:26:47
-222,-248,-193,2025-09-03 23:26:47
-85,5,140,2025-09-03 23:26:47
-81,-207,-211,2025-09-03 23:26:48
64,-42,25,2025-09-03 23:26:48
182,-149,226,2025-09-03 23:26:49
-234,-45,203,2025-09-03 23:26:49
50,188,243,2025-09-03 23:26:49
-173,125,-157,2025-09-03 23:26:50
-141,-47,-221,2025-09-03 23:26:50
-51,-221,-19,2025-09-03 23:26:51
-202,-3,126,2025-09-03 23:26:51
95,45,31,2025-09-03 23:26:51
125,-187,100,2025-09-03 23:26:52
-10,-236,36,2025-09-03 23:26:52
-13,-17,25,2025-09-03 23:26:53
109,52,-230,2025-09-03 23:26:53
196,-152,200,2025-09-03 23:26:53
-185,-203,134,2025-09-03 23:26:54
-212,-161,105,2025-09-03 23:26:55
-95,235,-249,2025-09-03 23:26:55
133,-204,-183,2025-09-03 23:26:55
-175,-235,-142,2025-09-03 23:26:56
-163,-221,-178,2025-09-03 23:26:56
-178,-167,158,2025-09-03 23:26:57
-103,130,96,2025-09-03 23:26:57
191,-192,-162,2025-09-03 23:26:58
-215,-14,-65,2025-09-03 23:26:58
-247,-24,192,2025-09-03 23:26:58
-203,-239,-66,2025-09-03 23:26:59
154,-23,243,2025-09-03 23:26:59
-189,-35,91,2025-09-03 23:27:00
-197,-235,51,2025-09-03 23:27:00
-100,188,-166,2025-09-03 23:27:00
110,-53,-105,2025-09-03 23:27:01
115,-110,235,2025-09-03 23:27:01
100,-51,87,2025-09-03 23:27:02
-22,188,112,2025-09-03 23:27:02
198,-153,203,2025-09-03 23:27:02
196,157,196,2025-09-03 23:27:03
-151,-196,201,2025-09-03 23:27:03
172,-20,-8,2025-09-03 23:27:04
-89,69,238,2025-09-03 23:27:04
-169,150,-14,2025-09-03 23:27:04
-22,-31,-81,2025-09-03 23:27:05
-88,215,-238,2025-09-03 23:27:05
174,-196,119,2025-09-03 23:27:06
91,101,-30,2025-09-03 23:27:07
-107,-174,29,2025-09-03 23:27:07
83,-44,74,2025-09-03 23:27:07
-230,110,32,2025-09-03 23:27:08
-114,27,155,2025-09-03 23:27:08
-84,-77,-216,2025-09-03 23:27:09
-29,-148,-187,2025-09-03 23:27:09
-48,60,-227,2025-09-03 23:27:10
113,143,-186,2025-09-03 23:27:10
-190,-250,-221,2025-09-03 23:27:10
-198,48,70,2025-09-03 23:27:11
-58,-164,123,2025-09-03 23:27:11
-197,-65,74,2025-09-03 23:27:12
-181,-96,-229,2025-09-03 23:27:12
-98,184,-49,2025-09-03 23:27:12
-69,-110,-144,2025-09-03 23:27:13
41,230,135,2025-09-03 23:27:13
-228,-28,80,2025-09-03 23:27:14
-228,-160,-51,2025-09-03 23:27:14
-183,112,-9,2025-09-03 23:27:14
-3,-246,167,2025-09-03 23:27:15
-26,5,150,2025-09-03 23:27:15
92,126,37,2025-09-03 23:27:16
-78,53,48,2025-09-03 23:27:16
-112,173,-106,2025-09-03 23:27:16
77,-186,182,2025-09-03 23:27:17
-39,161,109,2025-09-03 23:27:17
202,138,225,2025-09-03 23:27:18
-107,202,57,2025-09-03 23:27:18
127,-11,-27,2025-09-03 23:27:18
-95,247,-237,2025-09-03 23:27:19
38,-171,91,2025-09-03 23:27:19
97,13,239,2025-09-03 23:27:20
183,-91,199,2025-09-03 23:27:20
62,-171,-164,2025-09-03 23:27:20
-180,128,-77,2025-09-03 23:27:21
59,210,217,2025-09-03 23:27:21
41,-105,-222,2025-09-03 23:27:22
13,104,-205,2025-09-03 23:27:23
-221,75,-213,2025-09-03 23:27:23
-99,-197,-233,2025-09-03 23:27:24
40,72,21,2025-09-03 23:27:24
-38,-191,-24,2025-09-03 23:27:24
-168,31,-215,2025-09-03 23:27:25
-176,-224,-140,2025-09-03 23:27:25
183,178,-35,2025-09-03 23:27:26
0,-18,114,2025-09-03 23:27:26
138,-197,204,2025-09-03 23:27:26
191,18,166,2025-09-03 23:27:27
-37,159,206,2025-09-03 23:27:27
67,139,8,2025-09-03 23:27:28
-247,27,-138,2025-09-03 23:27:28
89,117,-223,2025-09-03 23:27:28
231,-100,116,2025-09-03 23:27:29
32,-69,161,2025-09-03 23:27:29
-151,-131,77,2025-09-03 23:27:30
89,-224,226,2025-09-03 23:27:30
-191,-29,-17,2025-09-03 23:27:30
-226,243,65,2025-09-03 23:27:31
-178,-26,4,2025-09-03 23:27:31
221,183,-177,2025-09-03 23:27:32
-76,64,-30,2025-09-03 23:27:32
106,180,-32,2025-09-03 23:27:32
158,-170,-106,2025-09-03 23:27:33
-154,-108,-214,2025-09-03 23:27:33
130,179,5,2025-09-03 23:27:34
11,244,66,2025-09-03 23:27:34
70,-18,-167,2025-09-03 23:27:34
207,29,-179,2025-09-03 23:27:35
30,-120,130,2025-09-03 23:27:35
-239,-238,-120,2025-09-03 23:27:36
13,-180,-178,2025-09-03 23:27:36
-168,-246,189,2025-09-03 23:27:36
232,233,162,2025-09-03 23:27:37
30,-69,87,2025-09-03 23:27:38
172,171,-245,2025-09-03 23:27:38
-33,125,-79,2025-09-03 23:27:39
-222,-57,-136,2025-09-03 23:27:39
57,204,26,2025-09-03 23:27:40
62,69,40,2025-09-03 23:27:40
-223,131,-245,2025-09-03 23:27:40
110,-212,-125,2025-09-03 23:27:41
17,98,245,2025-09-03 23:27:41
-125,121,-221,2025-09-03 23:27:42
28,-38,-160,2025-09-03 23:27:42
-149,-75,166,2025-09-03 23:27:43
153,-191,63,2025-09-03 23:27:43
95,-207,-163,2025-09-03 23:27:43
123,-27,201,2025-09-03 23:27:44
203,-17,42,2025-09-03 23:27:44
-109,-17,115,2025-09-03 23:27:45
-27,-64,-119,2025-09-03 23:27:45
-23,26,84,2025-09-03 23:27:45
-249,-114,17,2025-09-03 23:27:46
-192,-188,128,2025-09-03 23:27:46
63,-25,-227,2025-09-03 23:27:47
-136,-193,-41,2025-09-03 23:27:47
-236,-65,-128,2025-09-03 23:27:47
-113,80,-210,2025-09-03 23:27:48
-179,168,16,2025-09-03 23:27:48
-1,196,-135,2025-09-03 23:27:49
155,-206,-40,2025-09-03 23:27:49
165,-60,-164,2025-09-03 23:27:49
-28,-93,-187,2025-09-03 23:27:50
-176,174,168,2025-09-03 23:27:50
107,123,-74,2025-09-03 23:27:51
170,-107,-55,2025-09-03 23:27:51
123,43,104,2025-09-03 23:27:52
43,233,61,2025-09-03 23:27:52
-3,206,239,2025-09-03 23:27:52
-27,30,-56,2025-09-03 23:27:53
-53,246,181,2025-09-03 23:27:54
75,122,-16,2025-09-03 23:27:55
39,9,65,2025-09-03 23:27:55
-226,84,-231,2025-09-03 23:27:55
132,76,203,2025-09-03 23:27:56
-46,113,25,2025-09-03 23:27:56
-6,11,-194,2025-09-03 23:27:57
-145,106,-187,2025-09-03 23:27:57
-116,-45,-20,2025-09-03 23:27:57
71,242,-182,2025-09-03 23:27:58
-152,232,-106,2025-09-03 23:27:58
-63,198,-81,2025-09-03 23:27:59
-51,-184,-98,2025-09-03 23:27:59
-63,206,-76,2025-09-03 23:27:59
119,-30,-56,2025-09-03 23:28:00
47,221,-199,2025-09-03 23:28:00
232,-64,-35,2025-09-03 23:28:01
-247,188,-144,2025-09-03 23:28:01
-208,-29,59,2025-09-03 23:28:01
-14,-176,-217,2025-09-03 23:28:02
-82,-56,71,2025-09-03 23:28:02
-126,64,-228,2025-09-03 23:28:03
-51,220,211,2025-09-03 23:28:03
166,-109,-239,2025-09-03 23:28:04
246,156,98,2025-09-03 23:28:04
105,-66,-119,2025-09-03 23:28:04
30,22,193,2025-09-03 23:28:05
-37,148,-113,2025-09-03 23:28:05
-79,34,249,2025-09-03 23:28:06
-152,-90,211,2025-09-03 23:28:07
190,80,17,2025-09-03 23:28:07
-117,7,-63,2025-09-03 23:28:08
223,229,249,2025-09-03 23:28:08
-53,-234,98,2025-09-03 23:28:08
138,34,-163,2025-09-03 23:28:09
215,43,-111,2025-09-03 23:28:09
-115,120,-45,2025-09-03 23:28:10
-7,-219,-212,2025-09-03 23:28:10
-229,-18,202,2025-09-03 23:28:10
246,101,-159,2025-09-03 23:28:11
-16,-37,-105,2025-09-03 23:28:11
51,-166,-183,2025-09-03 23:28:12
87,-184,-161,2025-09-03 23:28:12
-200,91,160,2025-09-03 23:28:12
-200,91,153,2025-09-03 23:28:13
199,188,1,2025-09-03 23:28:13
-95,130,55,2025-09-03 23:28:14
54,59,-137,2025-09-03 23:28:14
-187,201,-52,2025-09-03 23:28:15
